seed,seed_idx,fold,auc,precision,recall,f1,threshold
42,0,0,0.95924375,1.0,0.485,0.6531986531986532,0.5
42,0,1,0.95051875,1.0,0.4425,0.6135181975736569,0.5
42,0,2,0.9475124999999999,1.0,0.63,0.7730061349693251,0.5
42,0,3,0.9576375000000001,1.0,0.36,0.5294117647058824,0.5
42,0,4,0.942175,1.0,0.59,0.7421383647798742,0.5
1042,1,0,0.942825,0.9747634069400631,0.7725,0.8619246861924686,0.5
1042,1,1,0.9650187500000001,1.0,0.7125,0.8321167883211679,0.5
1042,1,2,0.9401062499999999,0.8496420047732697,0.89,0.8693528693528694,0.5
1042,1,3,0.948925,1.0,0.655,0.7915407854984894,0.5
1042,1,4,0.95300625,0.9765395894428153,0.8325,0.8987854251012146,0.5
2042,2,0,0.96775,1.0,0.67,0.8023952095808383,0.5
2042,2,1,0.9586250000000001,1.0,0.705,0.8269794721407625,0.5
2042,2,2,0.966815625,1.0,0.5575,0.7158908507223114,0.5
2042,2,3,0.95949375,1.0,0.655,0.7915407854984894,0.5
2042,2,4,0.9546062499999999,1.0,0.6675,0.800599700149925,0.5
